,t2m,tp,log_tp,snr,ssrd,skt,q
1997-01-01,299.76218,11.898681,2.557125,10.176661,15.065289,299.40207,0.017225
1997-01-02,298.27936,8.26565,2.226314,5.350549,9.019527,297.7563,0.017878
1997-01-03,299.03314,6.968759,2.075529,10.634452,14.738873,298.3622,0.017245
1997-01-04,299.78946,1.020617,0.703403,11.415975,16.365072,299.34064,0.016717
1997-01-05,298.7193,5.975894,1.94246,7.711868,12.112391,298.5282,0.017191
1997-01-06,299.03314,5.174616,1.820447,11.669351,16.53235,298.59637,0.017
1997-01-07,299.85526,1.913094,1.069216,13.597249,19.960945,299.3553,0.016504
1997-01-08,300.38248,0.277793,0.245134,9.565178,15.614588,299.87888,0.016315
1997-01-09,300.06387,2.552224,1.267574,11.902582,17.75965,299.39066,0.016597
1997-01-10,299.56653,5.58355,1.884574,9.558685,14.922867,299.30624,0.016538
1997-01-11,298.93845,7.94679,2.191295,11.626459,17.054861,298.99765,0.016478
1997-01-12,299.12665,4.424448,1.690916,10.688152,15.477269,298.38046,0.016595
1997-01-13,298.9798,4.420094,1.690113,10.938985,16.225582,298.887,0.016449
1997-01-14,299.66656,2.383853,1.219015,10.891905,16.47565,299.485,0.016704
1997-01-15,299.61172,4.380992,1.682873,11.902534,17.37885,299.1821,0.016364
1997-01-16,299.75186,4.977282,1.787966,11.683316,16.741795,299.3315,0.016817
1997-01-17,300.4708,0.871162,0.62656,13.074151,19.448608,299.6971,0.015908
1997-01-18,299.96637,1.938738,1.07798,8.797519,13.960071,299.53003,0.016114
1997-01-19,299.5392,0.930338,0.657695,7.774222,12.812138,299.40964,0.016302
1997-01-20,299.5952,1.832474,1.041151,10.827105,15.938824,299.5818,0.016247
1997-01-21,299.3128,5.525745,1.875755,10.175676,14.85209,298.87308,0.016771
1997-01-22,297.40396,8.039162,2.201566,4.63329,7.381957,296.98074,0.017484
1997-01-23,297.67184,2.892751,1.359116,6.875578,10.151108,297.66104,0.016834
1997-01-24,298.92072,2.118554,1.137369,11.358195,16.569124,298.09894,0.016579
1997-01-25,297.85812,1.327123,0.844633,5.744354,9.459477,297.85736,0.01632
1997-01-26,298.17386,6.006531,1.946843,9.267105,13.259454,298.12552,0.016592
1997-01-27,298.063,13.311404,2.661057,9.394684,13.872619,297.2378,0.016823
1997-01-28,298.27673,6.02445,1.949397,10.91341,15.92427,297.97052,0.016373
1997-01-29,297.66632,9.50121,2.35149,10.432634,15.499909,297.6527,0.01651
1997-01-30,296.91257,11.682486,2.540222,9.011431,13.024975,297.14862,0.016498
1997-01-31,298.17133,2.59607,1.279842,10.42402,15.62951,297.96655,0.016442
1997-02-01,298.7661,6.868356,2.062849,11.293963,16.356869,298.58197,0.016804
1997-02-02,299.30914,2.156452,1.149449,10.604572,15.554066,298.6803,0.016203
1997-02-03,299.40723,1.075247,0.73008,14.624621,21.077751,299.16196,0.016378
1997-02-04,299.3474,1.424433,0.885598,13.292105,19.94702,299.19028,0.015971
1997-02-05,299.60834,1.304656,0.834931,12.586155,18.870356,298.93277,0.016285
1997-02-06,297.58264,8.985169,2.301101,6.925624,10.359188,297.23053,0.016618
1997-02-07,298.6355,2.275454,1.186456,11.431453,16.329887,297.94617,0.015949
1997-02-08,298.4088,3.728192,1.553543,9.179005,14.198223,298.47598,0.016039
1997-02-09,299.168,0.932392,0.658759,12.596263,18.814653,299.11404,0.015936
1997-02-10,298.7094,3.073043,1.40439,11.284017,16.84696,298.3606,0.015894
1997-02-11,298.91815,1.861856,1.05147,12.02319,17.49741,298.4703,0.01633
1997-02-12,298.41467,3.82545,1.573904,12.047921,17.355133,298.05267,0.01628
1997-02-13,298.5287,4.4088,1.688027,10.406875,15.354699,298.45096,0.016128
1997-02-14,298.34277,4.885876,1.772556,10.412974,15.108244,298.11087,0.01639
1997-02-15,297.93686,9.486121,2.350053,9.927185,14.007895,297.39966,0.016439
1997-02-16,298.01334,7.741252,2.168053,11.249108,15.513045,297.44327,0.016509
1997-02-17,298.7825,8.480235,2.249209,13.019024,18.332127,298.66873,0.016211
1997-02-18,299.66138,1.080243,0.732485,13.552952,20.305647,299.44873,0.015763
1997-02-19,299.96686,1.782193,1.023239,14.356733,20.794292,299.545,0.01627
