,t2m,tp,log_tp,snr,ssrd,skt,q
1997-01-01,299.48334,8.573151,2.258962,10.889683,15.672449,299.00992,0.017445
1997-01-02,298.76447,9.322341,2.334311,8.155908,12.025796,298.63403,0.017702
1997-01-03,299.14545,23.745846,3.208658,9.665997,13.684225,298.522,0.017772
1997-01-04,299.87662,3.84032,1.576981,11.953116,16.600517,299.60043,0.017391
1997-01-05,298.75638,8.219325,2.221302,7.948373,11.772738,298.30618,0.017599
1997-01-06,299.29025,8.855861,2.288066,11.138785,15.473482,298.99203,0.01754
1997-01-07,299.5272,6.098662,1.959906,12.319185,17.707027,299.00833,0.017325
1997-01-08,300.64462,0.863392,0.622398,13.605143,19.739182,299.94196,0.016441
1997-01-09,299.97327,8.388734,2.23951,12.807311,18.362263,299.59302,0.017262
1997-01-10,299.37256,12.405098,2.595635,8.746036,13.439091,298.89725,0.016984
1997-01-11,298.76956,5.736225,1.9075,10.669575,15.45684,298.7574,0.016941
1997-01-12,298.5653,18.219524,2.955927,10.882586,15.398006,298.27368,0.016786
1997-01-13,298.70255,9.037827,2.306361,12.45433,17.480856,298.7423,0.017044
1997-01-14,299.38815,5.947616,1.938399,12.279422,17.442177,299.03943,0.017021
1997-01-15,299.37848,10.024172,2.40009,14.182712,19.545597,299.19693,0.017047
1997-01-16,299.9443,8.616681,2.263499,12.969268,18.270906,299.5137,0.017014
1997-01-17,299.983,9.849486,2.384118,13.057195,18.479237,299.5322,0.017663
1997-01-18,299.58484,12.721721,2.61898,9.536927,13.806718,299.01917,0.017225
1997-01-19,299.56183,3.231864,1.442643,10.298936,14.985819,299.15933,0.0169
1997-01-20,299.4713,8.131815,2.211764,13.424998,18.880573,299.4475,0.017136
1997-01-21,298.80777,12.945135,2.635131,9.782466,13.933697,298.46768,0.017299
1997-01-22,297.78583,17.436905,2.914354,2.276866,4.667472,297.3886,0.017078
1997-01-23,298.48416,7.735992,2.167452,10.388116,14.574339,298.4012,0.017152
1997-01-24,298.85657,13.662635,2.685302,9.610179,14.044523,298.25107,0.016846
1997-01-25,297.6715,8.265956,2.226347,6.491398,9.819311,297.42767,0.017268
1997-01-26,298.1075,18.268726,2.958483,9.032051,12.773441,298.21814,0.01701
1997-01-27,298.27835,17.650015,2.925847,9.107367,12.811573,297.6557,0.016896
1997-01-28,298.79056,8.105686,2.208899,10.911139,15.300242,298.12033,0.016915
1997-01-29,298.12448,13.271609,2.658272,9.948384,14.284327,297.857,0.016808
1997-01-30,297.4741,19.324656,3.011835,6.473858,9.607177,297.30795,0.016809
1997-01-31,298.40668,1.695569,0.991609,14.150866,19.805061,298.61594,0.017185
1997-02-01,298.77542,5.070148,1.803383,9.35696,14.130445,298.6009,0.01707
1997-02-02,299.20853,8.129412,2.211501,11.551903,16.804314,298.94296,0.016771
1997-02-03,299.5461,1.85627,1.049517,11.915774,17.547277,299.31842,0.017046
1997-02-04,299.17828,2.592288,1.278789,12.642341,18.608498,299.22516,0.016643
1997-02-05,299.40054,4.738784,1.747247,13.920164,19.618725,298.8266,0.016593
1997-02-06,298.28967,14.531196,2.742851,8.896401,12.965867,297.87445,0.016641
1997-02-07,298.9151,2.369747,1.214838,13.781706,19.387611,298.56458,0.016193
1997-02-08,298.46948,15.243619,2.7877,11.664021,17.004486,298.80634,0.016577
1997-02-09,298.85846,4.213812,1.651311,13.658445,19.227629,298.79285,0.01662
1997-02-10,298.52545,8.243152,2.223883,11.461439,16.541954,298.32074,0.016366
1997-02-11,298.72153,7.447344,2.133852,13.033886,18.431473,298.71832,0.016676
1997-02-12,298.2656,8.787322,2.281088,11.535182,16.456573,298.46683,0.01631
1997-02-13,298.69733,3.533556,1.511507,13.02789,18.780834,298.98203,0.016361
1997-02-14,298.05246,9.357756,2.337736,9.606085,14.090652,298.22998,0.016385
1997-02-15,298.2125,8.49548,2.250816,11.651912,16.02043,298.1526,0.016373
1997-02-16,298.8057,12.365198,2.592654,13.129877,18.004679,298.4139,0.016464
1997-02-17,299.2331,4.443136,1.694355,15.048923,20.880701,299.0101,0.01673
1997-02-18,299.64624,4.739592,1.747388,14.43232,20.548523,299.41028,0.017169
1997-02-19,299.6,3.126349,1.417393,13.013825,18.389498,298.76224,0.017105
1997-02-20,298.48245,9.072595,2.309818,8.953758,13.059617,297.76804,0.016864
1997-02-21,297.9625,4.596918,1.722216,7.004621,10.476914,297.95074,0.016618
1997-02-22,298.2086,17.531187,2.919455,9.449965,13.264321,297.94577,0.016701
1997-02-23,299.3377,2.471671,1.244636,12.726267,17.832544,298.82776,0.016792
1997-02-24,299.7198,2.526947,1.260433,13.493166,19.326199,299.23615,0.017183
1997-02-25,299.34875,3.993752,1.608188,13.414691,19.32916,299.2224,0.017081
1997-02-26,299.7787,7.33106,2.119991,12.378669,17.878197,299.58154,0.016771
1997-02-27,299.94318,3.817604,1.572277,13.926997,19.951393,299.34708,0.017238
1997-02-28,299.55893,2.71832,1.313272,14.589311,20.738455,299.20532,0.016875
1997-03-01,299.28665,4.864749,1.76896,13.54582,19.2802,298.9817,0.016505
1997-03-02,298.6624,3.641296,1.534994,10.351273,14.691129,297.96274,0.01652
1997-03-03,298.1883,4.261156,1.660351,12.488298,17.441954,298.24667,0.016436
1997-03-04,299.1686,7.817438,2.176731,12.238656,17.424196,298.77063,0.016922
1997-03-05,298.28333,19.314957,3.011357,8.368644,12.097501,298.07047,0.017053
1997-03-06,298.56964,13.196893,2.653023,8.836987,12.787644,297.90973,0.017222
1997-03-07,298.74985,10.101839,2.407111,8.410665,12.047608,298.3534,0.017109
1997-03-08,299.0899,16.990883,2.889865,12.148423,16.549904,298.47778,0.01701
