,t2m,log_tp,snr,ssrd,skt,q,sm
aveK,287.21737,0.58496,8.073,17.66244,287.2789,0.00763,0.2536
stdK,12.23175,0.8233,5.33898,7.72935,13.50693,0.00468,0.11071
