,t2m,tp,log_tp,snr,ssrd,skt,q
1997-03-17,297.65366,25.607246,3.281184,4.66662,6.805882,296.83252,0.016501
1997-03-18,299.12515,2.507699,1.25496,12.164397,16.432762,298.42154,0.01622
1997-03-19,298.36786,26.97727,3.331392,9.026752,12.974017,297.99405,0.016679
1997-03-20,297.70462,37.86648,3.660132,3.184885,5.805174,297.46,0.016187
1997-03-21,298.4281,29.052029,3.40293,9.293534,13.365833,297.98245,0.016827
1997-03-22,298.61578,11.949833,2.561083,10.548717,14.772483,298.61612,0.01699
1997-03-23,298.83008,12.154755,2.576783,9.930156,14.352793,298.3563,0.017008
1997-03-24,297.58832,10.330417,2.427491,3.36661,5.865716,296.89706,0.016809
1997-03-25,299.10233,12.806434,2.625135,10.852716,15.292421,298.47025,0.017225
1997-03-26,298.6083,15.605844,2.809755,12.631767,17.86416,298.22357,0.016708
1997-03-27,298.3016,15.052923,2.775891,8.320132,12.176272,297.87415,0.016637
1997-03-28,298.22955,6.808573,2.055222,10.115723,14.830684,297.71823,0.016943
1997-03-29,297.95764,20.854052,3.084386,10.470883,15.260946,297.91693,0.016789
1997-03-30,297.89307,11.153345,2.497604,6.014816,9.235682,297.13388,0.016701
1997-03-31,298.76505,9.061555,2.308722,12.242558,17.091415,298.51825,0.01703
1997-04-01,299.34857,7.568002,2.148035,11.939222,17.076443,298.69412,0.017098
1997-04-02,299.30844,8.02608,2.200118,11.639481,16.675432,298.79156,0.017038
1997-04-03,298.8461,15.401896,2.797397,8.515337,12.334617,298.2638,0.017177
1997-04-04,297.98425,11.394647,2.517265,8.708027,12.467166,297.99796,0.017352
1997-04-05,298.98236,8.337294,2.234016,10.708351,15.737994,298.8801,0.017367
1997-04-06,299.1769,7.47686,2.13734,11.608601,16.577738,298.80566,0.017043
1997-04-07,299.11136,14.586249,2.746389,9.624298,14.178271,298.58704,0.017052
1997-04-08,297.5793,36.033207,3.611815,6.095456,8.928005,297.2871,0.017391
1997-04-09,297.6305,59.48836,4.102451,5.475104,8.21019,297.19495,0.017266
1997-04-10,298.57782,11.111934,2.494191,12.14747,16.847488,298.60773,0.017171
1997-04-11,298.82138,18.544207,2.972679,8.02982,12.218287,298.09497,0.017552
1997-04-12,298.58603,6.146588,1.966635,10.487155,14.810825,298.5239,0.017158
1997-04-13,298.07043,15.440234,2.799732,7.759379,11.167021,297.67493,0.016885
1997-04-14,297.6034,11.449784,2.521703,4.456218,7.383908,297.1307,0.016159
1997-04-15,298.47226,20.201082,3.054052,8.019936,11.476333,297.77554,0.016864
1997-04-16,299.14914,5.935206,1.936611,13.504622,18.954153,298.83643,0.016855
1997-04-17,299.3464,5.42042,1.859484,11.423382,16.854813,298.82233,0.017478
1997-04-18,299.48746,5.869686,1.927118,11.149833,16.47967,298.8209,0.017459
1997-04-19,299.76532,1.299263,0.832589,15.281919,22.090273,299.78885,0.01679
1997-04-20,299.59445,9.049103,2.307483,9.294966,14.139004,299.3131,0.017174
1997-04-21,299.56653,2.907647,1.362935,11.891443,17.026075,299.24442,0.017027
1997-04-22,299.4622,9.019339,2.304517,9.197536,13.748419,298.8154,0.017166
1997-04-23,299.16974,6.922082,2.069654,9.308187,13.594138,298.46222,0.017103
1997-04-24,299.30258,5.872078,1.927467,7.978152,11.873782,298.30313,0.017035
1997-04-25,297.92892,17.353983,2.909847,5.937908,8.62732,297.2899,0.016893
1997-04-26,298.60034,10.477944,2.440427,8.643115,12.430476,297.6992,0.017061
1997-04-27,297.79346,13.629841,2.683063,6.953314,9.98411,297.24936,0.017039
1997-04-28,298.34244,32.09645,3.499426,9.482432,13.466695,297.94095,0.016435
1997-04-29,298.18552,21.698149,3.122283,8.059672,11.649118,298.27423,0.0164
1997-04-30,299.73462,3.661327,1.5393,10.998113,16.161942,299.05933,0.016932
1997-05-01,298.72534,7.769579,2.171289,11.50079,16.899113,298.4401,0.016927
1997-05-02,298.72824,5.090992,1.806811,10.435419,15.226117,298.45645,0.017118
1997-05-03,298.95703,6.686602,2.039479,10.138778,14.590709,298.9888,0.016993
1997-05-04,298.20685,17.76335,2.931905,8.437979,12.00035,297.8201,0.016902
1997-05-05,298.4642,28.263487,3.376341,6.795711,9.738139,297.88312,0.017065
1997-05-06,298.68423,15.535339,2.8055,8.06571,11.495416,297.64032,0.016789
1997-05-07,298.40604,8.98682,2.301266,5.32612,8.205059,297.81598,0.016919
1997-05-08,298.13968,14.456704,2.738043,4.094155,6.756504,297.15704,0.017302
1997-05-09,299.4637,4.891128,1.773447,12.024615,16.947018,298.90347,0.016882
1997-05-10,300.06134,2.359201,1.211703,12.371758,18.504843,299.44516,0.017312
1997-05-11,299.44464,14.45479,2.737919,10.824577,16.539337,298.54193,0.01702
1997-05-12,298.8618,11.894538,2.556804,9.966683,14.362779,298.77075,0.016677
1997-05-13,298.83588,29.86852,3.429737,9.267095,13.467767,298.05035,0.016854
1997-05-14,299.047,9.841064,2.383341,11.073194,16.849764,298.78357,0.016856
1997-05-15,299.57123,0.437854,0.363152,13.099016,19.428343,299.02695,0.016645
1997-05-16,299.62204,7.349216,2.122168,11.274652,16.885769,298.89944,0.016899
1997-05-17,298.85233,8.078127,2.205868,9.735353,14.054418,298.41003,0.016667
1997-05-18,299.1974,0.889941,0.636546,9.018757,13.713253,298.58908,0.016837
1997-05-19,300.27585,0.305591,0.266656,13.749661,20.110485,299.79675,0.016888
1997-05-20,299.47974,7.08295,2.089757,11.576398,16.4566,299.1478,0.017086
1997-05-21,299.6384,9.374692,2.339369,10.885613,15.95586,298.61053,0.017231
1997-05-22,300.22217,6.163944,1.969061,12.878136,18.54344,299.14722,0.017778
1997-05-23,299.7946,12.116838,2.573897,8.604848,12.522805,299.05148,0.017893
1997-05-24,299.78864,4.942914,1.7822,11.364488,16.824747,299.47974,0.017622
1997-05-25,299.5673,1.472513,0.905235,12.653862,18.840757,299.67923,0.016928
1997-05-26,299.48132,2.559674,1.269669,10.601474,15.802748,299.2727,0.016816
1997-05-27,299.6579,4.650394,1.731725,12.279865,18.261158,299.21588,0.016804
1997-05-28,299.4886,9.139833,2.316472,12.253376,17.808681,298.76907,0.017035
1997-05-29,300.21835,4.504686,1.7056,14.062552,20.138111,299.4559,0.016612
1997-05-30,300.56726,1.862271,1.051615,12.41789,18.844254,300.28183,0.017354
1997-05-31,300.52795,1.448061,0.895296,13.73553,20.31663,300.08563,0.017115
1997-06-01,299.4141,2.53752,1.263426,12.167111,18.292295,299.36154,0.017776
1997-06-02,299.4989,6.9826,2.077264,9.076514,14.097509,298.90567,0.017183
1997-06-03,299.45746,1.959305,1.084954,12.201641,17.92366,299.3838,0.016739
1997-06-04,299.5085,1.408964,0.879197,11.799958,18.046814,299.3133,0.017156
1997-06-05,300.68542,0.251305,0.224187,13.306855,20.329714,299.5983,0.016475
1997-06-06,300.07077,0.15013,0.139875,13.524372,20.714048,300.09674,0.016443
1997-06-07,300.05136,0.010242,0.01019,13.557505,21.547543,300.04755,0.015999
1997-06-08,300.3133,0.0352,0.034595,13.184223,20.953737,300.23602,0.016136
1997-06-09,300.32846,0.799968,0.587769,11.246478,17.905197,300.15054,0.017586
1997-06-10,300.41376,0.056154,0.054634,13.281174,21.310913,299.80548,0.015255
1997-06-11,299.77237,0.076495,0.07371,12.296799,19.425436,299.95663,0.015856
1997-06-12,299.7088,6.894422,2.066156,11.791916,18.316008,299.54828,0.016609
1997-06-13,300.14154,0.72875,0.547399,12.17638,19.221996,299.34036,0.016121
1997-06-14,299.83875,0.899444,0.641561,11.12608,17.768421,299.3199,0.015859
1997-06-15,300.40814,0.482315,0.393605,12.170823,19.168636,299.93674,0.016563
1997-06-16,300.68802,1.856592,1.049629,12.346502,18.907394,300.09814,0.017003
1997-06-17,301.0793,0.00152,0.001519,13.975056,22.398018,300.643,0.015709
1997-06-18,300.70883,0.867119,0.624397,12.146404,19.830078,299.92563,0.016874
1997-06-19,300.13763,1.487335,0.911212,11.31249,17.902172,300.091,0.016751
1997-06-20,300.27612,0.978452,0.682315,11.864014,18.765825,299.69077,0.016349
1997-06-21,300.06998,2.864988,1.351959,13.058543,19.60217,299.58743,0.01683
1997-06-22,300.45126,1.743246,1.009142,12.019107,18.39001,299.2502,0.016954
1997-06-23,299.9886,1.212234,0.794003,12.1769,18.699945,299.7538,0.017075
1997-06-24,300.6289,0.226566,0.204218,11.771555,18.89256,299.89896,0.015688
1997-06-25,300.79898,0.33637,0.289957,12.16881,19.188538,300.2531,0.015642
1997-06-26,300.7662,5.4393,1.86242,11.557883,18.055399,300.43872,0.016703
1997-06-27,299.6913,7.577996,2.1492,12.659775,18.898033,299.23148,0.016677
1997-06-28,298.88974,4.798868,1.757663,10.867084,16.214382,298.55273,0.016625
1997-06-29,299.9051,2.391025,1.221132,12.812037,19.341074,299.6778,0.016403
1997-06-30,300.6432,0.061073,0.059281,13.660774,22.005596,299.9486,0.015448
1997-07-01,300.15942,0.188975,0.173092,12.343332,20.304462,299.91406,0.015377
1997-07-02,300.32477,1.806561,1.03196,11.895125,18.65107,299.609,0.01646
1997-07-03,298.5605,9.419443,2.343674,8.908001,14.327928,298.7682,0.016761
1997-07-04,299.59253,0.943413,0.664446,12.242013,18.849142,299.36026,0.016123
1997-07-05,299.34482,7.655754,2.158224,11.719693,17.947277,298.99402,0.016959
1997-07-06,298.2055,3.328376,1.465192,10.29686,15.599544,298.77008,0.016862
1997-07-07,300.107,4.20334,1.649301,12.829589,19.336676,299.52197,0.016707
1997-07-08,299.93488,1.295702,0.831039,12.604997,19.708672,299.41098,0.016338
1997-07-09,299.819,10.848892,2.472234,12.177294,18.493385,299.10373,0.016848
1997-07-10,299.84348,2.364049,1.213145,13.383703,20.304598,299.53845,0.016059
1997-07-11,299.91705,0.939321,0.662338,12.052408,19.473644,299.60065,0.015873
1997-07-12,300.5386,0.189804,0.173789,12.815788,20.492014,299.83408,0.016017
1997-07-13,299.77072,2.837908,1.344927,10.822164,16.853521,299.82455,0.016645
1997-07-14,298.80826,3.782832,1.565033,10.265461,15.747499,299.2338,0.016731
1997-07-15,300.19705,1.533175,0.929473,13.050002,20.247032,299.331,0.016654
1997-07-16,300.17627,0.574272,0.453793,13.473715,20.801455,299.99225,0.0162
1997-07-17,300.52808,0.054121,0.052707,13.051393,20.74043,300.20972,0.015861
1997-07-18,300.32785,1.889145,1.060961,12.255901,19.720833,300.25394,0.016692
1997-07-19,299.51865,1.162152,0.771104,11.157879,17.416319,299.31662,0.016498
1997-07-20,299.93408,3.154612,1.424219,12.492816,19.325409,299.85608,0.016118
1997-07-21,299.40793,1.527886,0.927383,12.324352,18.913692,299.2768,0.016339
1997-07-22,299.71268,1.793775,1.027394,12.772732,19.496372,299.7021,0.016221
1997-07-23,300.4429,1.347108,0.853184,11.706511,18.184814,300.1869,0.016464
1997-07-24,300.70367,0.888333,0.635694,12.305166,19.147356,300.25626,0.01633
1997-07-25,300.93134,0.950392,0.66803,13.31004,20.823158,300.20703,0.016174
1997-07-26,300.5401,0.685186,0.521876,13.141643,20.67669,300.4902,0.016372
1997-07-27,301.06583,4.007059,1.610849,12.281037,19.4356,300.24457,0.016464
1997-07-28,301.36774,0.056038,0.054524,13.565981,21.186272,300.5821,0.016199
1997-07-29,300.94327,0.521739,0.419854,12.549586,19.999195,300.45944,0.016384
1997-07-30,300.95273,0.586704,0.461659,13.116002,21.101437,300.85928,0.016171
1997-07-31,300.61557,1.331418,0.846477,11.937752,19.338762,300.512,0.016304
1997-08-01,300.23633,1.477314,0.907175,11.397605,18.021038,299.82062,0.01637
1997-08-02,300.42816,0.933731,0.659451,12.79534,20.442884,300.18427,0.01595
1997-08-03,299.88254,7.71026,2.164502,11.026945,17.617693,299.25974,0.016964
1997-08-04,299.72903,1.721842,1.001309,12.392285,18.850113,299.54102,0.016836
1997-08-05,300.96722,0.056318,0.054789,13.869113,22.093817,300.37457,0.015189
1997-08-06,300.4513,0.546511,0.436001,12.723336,20.887156,300.5149,0.01609
