,soilm
-1.625,-9999
-1.875,-9999
-2.125,-9999
-2.375,-9999
-2.625,-9999
-2.875,-9999
-3.125,-9999
-3.375,-9999
-3.625,-9999
-3.875,-9999
-4.125,-9999
-4.375,-9999
-4.625,-9999
-4.875,-9999
-5.125,-9999
-5.375,-9999
-5.625,-9999
-5.875,-9999
-6.125,-9999
-6.375,-9999
-6.625,-9999
-6.875,-9999
-7.125,-9999
-7.375,-9999
-7.625,-9999
-7.875,-9999
-8.125,-9999
-8.375,-9999
-8.625,-9999
-8.875,-9999
-9.125,-9999
-9.375,-9999
-9.625,-9999
-9.875,-9999
-10.125,-9999
-10.375,-9999
-10.625,-9999
-10.875,-9999
-11.125,-9999
-11.375,-9999
-11.625,-9999
-11.875,-9999
-12.125,-9999
-12.375,-9999
-12.625,-9999
-12.875,-9999
-13.125,-9999
-13.375,-9999
-13.625,-9999
-13.875,-9999
-14.125,-9999
-14.375,-9999
-14.625,-9999
-14.875,-9999
-15.125,-9999
-15.375,-9999
-15.625,-9999
-15.875,-9999
-16.125,-9999
-16.375,-9999
-16.625,-9999
-16.875,-9999
-17.125,-9999
-17.375,-9999
-17.625,-9999
-17.875,-9999
-18.125,-9999
-18.375,-9999
-18.625,-9999
-18.875,-9999
-19.125,-9999
-19.375,-9999
-19.625,-9999
-19.875,-9999
-20.125,-9999
-20.375,-9999
-20.625,-9999
-20.875,-9999
-21.125,-9999
-21.375,-9999
-21.625,-9999
-21.875,-9999
-22.125,-9999
-22.375,-9999
-22.625,-9999
-22.875,-9999
-23.125,-9999
-23.375,-9999
-23.625,-9999
-23.875,-9999
-24.125,-9999
-24.375,-9999
-24.625,-9999
-24.875,-9999
-25.125,-9999
-25.375,-9999
-25.625,-9999
-25.875,-9999
-26.125,-9999
-26.375,-9999
-26.625,-9999
-26.875,-9999
-27.125,-9999
-27.375,-9999
-27.625,-9999
-27.875,-9999
-28.125,-9999
-28.375,-9999
-28.625,-9999
-28.875,-9999
-29.125,-9999
-29.375,-9999
-29.625,-9999
-29.875,-9999
-30.125,-9999
-30.375,-9999
-30.625,-9999
-30.875,-9999
-31.125,-9999
-31.375,-9999
-31.625,-9999
-31.875,-9999
-32.125,-9999
-32.375,-9999
-32.625,-9999
-32.875,-9999
-33.125,-9999
-33.375,-9999
-33.625,-9999
-33.875,0.24127083
-34.125,0.1904125
-34.375,-9999
