arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
1.017,-2.97,0.193,-7.864,2306.323,0.022,-13.965,0.564,0.297,649.5,0.006,-20.503,0.561,0.096,736.404,0.007,Australia,284.987
1.017,-0.242,0.265,-3.663,-83.556,0.027,-0.687,0.397,0.153,-35.612,0.012,-0.5,0.669,0.445,-28.818,0.009,Australia,284.987
1.017,-0.826,0.236,-5.196,-198.056,0.022,0.143,0.604,0.364,-63.437,0.007,0.719,0.597,0.296,-66.77,0.008,Australia,284.987
1.017,1.454,0.267,-26.056,-88.981,0.026,-0.287,0.73,0.223,-15.079,0.004,0.532,0.601,-1.3,-25.945,0.008,Australia,284.987
1.017,-0.542,0.312,-1.117,-144.658,0.024,-0.069,0.595,0.281,-84.292,0.014,0.353,0.617,0.355,-79.868,0.013,Australia,284.987
1.017,-1.023,0.135,-2.982,-143.157,0.023,-0.32,0.702,0.426,-54.363,0.009,0.022,0.42,0.109,-67.701,0.011,Australia,284.987
1.017,-0.862,0.541,-0.467,-58.144,0.01,-0.602,0.688,0.357,-38.497,0.007,-1.858,0.504,-1.282,-72.506,0.012,Australia,284.987
1.017,-0.839,0.169,-0.58,-42.701,0.028,-0.823,0.77,0.302,-28.392,0.019,-0.84,0.451,0.194,-30.508,0.02,Australia,284.987
1.017,-3.049,0.137,-12.747,-1601.459,0.021,6.22,0.455,0.002,-431.491,0.006,9.73,0.326,-1.07,-621.481,0.008,Australia,284.987
1.077,-1.723,0.102,-13.912,-1105.406,0.031,1.459,0.584,0.341,-232.444,0.007,2.08,0.495,0.099,-271.791,0.008,Australia,285.148
1.077,-0.515,0.73,0.532,-48.566,0.009,0.075,0.773,0.583,-45.882,0.009,-0.736,0.698,0.474,-51.493,0.01,Australia,285.148
1.077,-0.845,0.13,-3.624,-382.325,0.035,0.148,0.639,0.297,-149.044,0.014,0.466,0.662,0.371,-141.045,0.013,Australia,285.148
1.077,-1.189,0.102,-8.127,-294.84,0.032,-0.356,0.759,0.486,-69.954,0.008,-0.194,0.647,0.417,-74.502,0.008,Australia,285.148
1.077,-1.148,0.134,-11.505,-224.983,0.031,-0.496,0.549,0.301,-53.186,0.007,-0.369,0.622,0.355,-51.087,0.007,Australia,285.148
2.24,19.14,-0.01,-0.83,-561.973,0.017,4.961,0.207,-0.193,-453.822,0.014,-0.439,0.39,0.078,-398.966,0.012,SAmerica,299.86
3.276,-0.718,0.157,-0.045,-20.462,0.016,-1.204,0.816,0.648,-11.881,0.009,-0.743,0.534,0.232,-17.54,0.014,SAmerica,301.413
2.374,-0.983,-0.144,-0.501,-918.535,0.021,-4.399,0.538,0.289,-632.24,0.015,0.456,0.08,-0.157,-806.252,0.019,SAmerica,301.223
1.841,0.616,-0.172,-0.526,-147.37,0.027,-0.75,0.534,0.274,-101.617,0.019,-0.825,0.401,0.161,-109.301,0.02,SAmerica,300.991
3.144,1.417,0.102,-0.037,-157.883,0.017,1.359,0.399,0.127,287.541,0.016,-1.806,0.105,-0.016,-156.291,0.017,SAmerica,297.478
3.529,1.162,0.122,-0.072,58.192,0.034,2.887,0.702,0.391,43.864,0.026,-0.726,0.429,0.175,51.051,0.03,SAmerica,300.376
2.179,-4.904,0.031,-1.735,230.708,0.014,-1.238,0.339,-0.398,33.502,0.01,-3.904,0.376,0.032,137.222,0.009,SAmerica,298.283
2.832,-1.802,0.016,-1.883,79.575,0.027,-0.584,0.48,0.205,41.779,0.014,-0.822,0.224,0.045,45.812,0.015,SAmerica,299.852
2.46,-2.884,0.418,0.119,-32.672,0.01,-2.526,0.406,0.142,-32.248,0.01,-1.099,0.16,-0.057,-35.787,0.011,SAmerica,301.747
3.563,-0.919,0.475,0.123,12.381,0.013,0.158,0.757,0.561,8.764,0.009,-0.552,0.602,0.257,11.401,0.012,SAmerica,298.938
2.306,-1.382,0.066,-13.794,-335.302,0.02,1.21,0.176,-4.776,-209.506,0.012,0.563,0.033,-1.608,-140.789,0.008,SAmerica,300.13
3.982,-1.337,-0.159,-3.288,238.913,0.026,2.187,0.448,-0.104,121.248,0.013,0.762,0.612,0.349,93.097,0.01,SAmerica,299.208
3.045,0.005,0.111,-0.132,42.318,0.02,0.052,0.521,0.244,34.588,0.016,-0.344,0.505,0.244,34.59,0.016,SAmerica,299.933
0.674,-0.146,-0.077,-1.637,-211.666,0.029,-0.926,0.191,0.01,-129.691,0.018,-0.408,0.239,0.021,-128.983,0.017,Asia,299.88
0.674,-1.926,0.063,-2.945,-151.067,0.032,-0.447,0.271,0.062,-73.644,0.016,-1.158,0.338,0.101,-72.104,0.015,Asia,299.88
0.674,-4.88,-0.008,-0.951,-197.787,0.038,-0.785,0.2,0.039,-138.792,0.027,-0.708,0.226,0.049,-138.094,0.026,Asia,299.88
0.674,44.548,-0.053,-75.684,895.53,0.024,-4.726,0.128,-4.43,238.311,0.006,-4.239,0.255,-6.036,271.262,0.007,Asia,299.88
0.674,0.529,0.096,-2.2,122.86,0.034,-0.871,0.207,0.031,67.628,0.019,-0.008,0.292,0.078,65.969,0.018,Asia,299.88
0.674,-2.439,0.086,-1.363,-257.285,0.035,-0.141,0.298,0.088,-159.848,0.022,-1.246,0.287,0.082,-160.391,0.022,Asia,299.88
0.674,-2.478,-0.029,-2.88,-53.298,0.029,0.077,0.411,0.168,-24.683,0.013,-0.19,0.267,-0.021,-27.346,0.015,Asia,299.88
4.555,-1.21,0.082,-0.307,191.435,0.01,2.28,0.419,-0.854,228.025,0.012,-1.318,0.272,0.028,165.056,0.009,Africa,301.516
1.807,-1.012,0.164,-0.692,-412.573,0.034,-0.335,0.228,0.047,-309.633,0.026,-1.012,0.063,-0.035,-322.643,0.027,NAmerica,298.386
2.186,-0.824,0.026,-0.867,-1638.545,0.022,0.795,0.002,-0.263,-1735.965,0.018,-1.109,0.027,-0.073,-1242.062,0.016,NAmerica,298.944
3.494,-1.053,-0.037,-3.847,8.657,0.028,-0.736,0.295,-0.097,4.121,0.013,-1.003,0.206,-0.022,3.976,0.013,NAmerica,299.561
1.85,-4.008,-0.002,-0.478,708.905,0.018,2.832,-0.039,-1.041,833.163,0.021,1.558,0.03,-0.091,609.112,0.015,NAmerica,298.752
2.928,-0.982,-0.065,-1.773,11.286,0.04,-0.777,0.366,0.118,6.298,0.023,-0.998,0.165,0.001,6.774,0.024,NAmerica,299.378
0.577,-2.932,-0.02,-0.36,5321.818,0.025,-0.217,0.256,-0.228,-470.65,0.024,-2.115,0.127,0.015,4528.171,0.021,NAmerica,292.4
0.577,-1.531,0.061,-0.651,1234.317,0.018,1.58,0.401,-0.483,-1330.953,0.017,-1.306,0.168,0.024,949.108,0.014,NAmerica,292.4
1.872,0.626,-0.064,-1.192,-906.279,0.022,-1.207,0.196,-0.765,-813.177,0.02,0.008,0.197,-0.01,-615.24,0.015,NAmerica,289.382
1.872,-104.104,0.032,-1.54,-219624.604,0.019,18.281,0.51,0.094,10841.93,0.011,-93.871,0.232,-0.002,-137964.647,0.012,NAmerica,289.382
0.536,-3.11,0.027,-4.873,-3909.576,0.024,2.245,0.115,-1.941,-2766.82,0.017,-0.624,0.002,-0.434,-1931.687,0.012,NAmerica,292.281
0.536,1.647,0.03,-4.448,-1261.813,0.03,7.677,0.197,-1.744,-2142.555,0.02,-0.033,0.092,-0.181,-587.48,0.014,NAmerica,292.281
0.536,-0.026,-0.138,-2.989,826.612,0.027,-1.215,0.261,-0.586,521.135,0.017,-0.87,0.017,-0.203,453.959,0.015,NAmerica,292.281
0.536,2.028,0.023,-3.643,-744.388,0.034,0.035,0.353,-0.402,-409.112,0.019,-0.016,0.081,-0.104,-362.978,0.017,NAmerica,292.281
1.45,-0.259,-0.089,-0.816,-956.395,0.026,-1.267,0.364,0.114,332.182,0.018,-0.695,0.227,0.051,-691.428,0.019,NAmerica,295.737
1.45,-1.49,-0.035,-1.894,2302.052,0.018,-0.689,0.327,-0.057,559.265,0.011,-1.795,0.122,-0.035,1376.857,0.011,NAmerica,295.737
2.208,-1.955,0.137,-0.251,-1321.217,0.018,3.889,0.729,0.432,-741.054,0.012,4.28,0.391,0.13,-1101.745,0.015,NAmerica,297.228
2.183,-1.508,0.244,-0.284,-912.427,0.014,-0.816,0.666,0.271,-302.726,0.01,-1.469,0.511,0.251,-696.861,0.01,NAmerica,297.051
1.457,-0.61,0.207,-0.439,7.921,0.024,-0.471,0.518,0.208,5.876,0.018,-0.724,0.376,0.113,6.217,0.019,Asia,298.558
1.286,-1.03,0.289,0.074,-101.751,0.03,-0.916,0.581,0.289,-91.622,0.026,-0.935,0.357,0.125,-98.894,0.029,NAmerica,296.456
1.878,-1.412,0.166,-0.153,135.26,0.041,-0.996,0.583,0.303,105.216,0.032,-0.925,0.58,0.215,111.655,0.034,NAmerica,296.128
1.617,-0.461,0.134,-0.634,-58.365,0.03,-0.939,0.52,0.259,-39.309,0.02,-1.021,0.43,0.145,-42.219,0.022,NAmerica,295.204
1.462,-0.777,0.068,-1.519,594.399,0.013,-0.945,0.371,0.004,214.206,0.008,-3.328,0.403,-0.613,475.615,0.011,NAmerica,294.734
1.462,14479.0,0.035,-3.062,1303194.324,0.013,-601.176,0.403,-0.161,696575.44,0.007,2688.059,0.488,-0.967,906941.227,0.009,NAmerica,294.734
2.175,-0.956,0.312,0.062,279.811,0.02,-1.722,0.639,0.407,411.016,0.016,-0.57,0.482,0.21,256.837,0.019,NAmerica,294.599
1.037,-0.478,0.239,-0.886,-558.609,0.024,-24.456,0.592,0.345,-35319.286,0.014,-1.166,0.49,0.238,-355.213,0.015,NAmerica,293.651
0.994,-1.118,0.322,-0.372,479.84,0.021,-0.858,0.526,0.258,260.956,0.017,-1.464,0.455,0.186,369.754,0.016,NAmerica,293.589
1.222,5.127,0.24,-0.12,-3413.464,0.02,-0.182,0.328,0.091,-3075.32,0.018,-0.991,0.209,-0.031,-3274.746,0.019,NAmerica,293.874
1.222,1.317,0.258,0.019,-4500.505,0.028,7.447,0.452,0.187,-4097.997,0.025,9.27,0.304,0.089,-4338.023,0.027,NAmerica,293.874
1.214,0.498,0.162,-1.488,-719.554,0.02,1.5,0.407,0.148,-2909.681,0.012,0.277,0.359,-0.12,-482.862,0.014,NAmerica,293.032
1.214,-1.933,0.545,0.287,125.649,0.014,-0.56,0.407,0.163,136.133,0.016,-2.051,0.518,0.264,127.665,0.015,NAmerica,293.032
1.032,-1.436,0.193,-0.322,447.37,0.017,-0.821,0.628,0.366,722.571,0.011,-1.109,0.528,0.275,331.156,0.012,NAmerica,293.433
1.032,-3.029,0.15,-0.134,3196.988,0.022,-0.776,0.726,0.485,-147.247,0.012,-1.506,0.33,0.109,2833.672,0.019,NAmerica,293.433
1.04,0.106,0.235,-1.69,-572.445,0.022,-0.15,0.653,0.313,19.3,0.008,-0.16,0.647,0.387,-273.367,0.011,NAmerica,292.978
1.079,-0.675,0.158,-0.926,-497.693,0.024,-0.176,0.563,0.314,-330.733,0.011,-0.643,0.489,0.238,-313.044,0.015,NAmerica,293.262
1.271,-0.996,0.024,-8.322,71.1,0.031,-0.568,0.541,0.286,-416.593,0.014,-1.164,0.464,0.012,23.151,0.01,NAmerica,292.821
1.178,1.48,0.141,-1.019,2277.35,0.018,-0.313,0.375,0.112,51.194,0.015,0.141,0.494,-0.085,1669.563,0.013,NAmerica,292.662
1.132,0.383,0.339,-0.098,-246.284,0.018,0.006,0.084,-0.552,169.599,0.012,-0.506,0.616,0.378,-185.351,0.014,NAmerica,292.663
1.126,-0.354,0.334,0.089,51.856,0.015,-0.49,0.228,-0.061,105.26,0.015,-0.561,0.516,0.225,47.811,0.014,Asia,270.831
1.126,-0.113,0.013,-0.687,176.84,0.013,-1.587,0.42,0.176,-186.797,0.017,-0.593,0.262,0.049,132.745,0.01,Asia,270.831
1.126,-0.55,0.252,-0.038,104.107,0.014,-1.505,0.177,-0.545,180.12,0.01,-0.793,0.335,0.109,96.449,0.013,Asia,270.831
1.039,-1.499,0.382,0.144,-190.379,0.017,-2.609,0.289,-0.076,-340.797,0.011,-1.407,0.486,0.186,-185.664,0.017,Asia,270.631
0.959,-1.518,0.143,-0.949,202.321,0.012,-0.789,0.449,0.201,58.854,0.016,-1.316,0.275,0.026,143.003,0.008,Asia,270.144
0.959,-1.795,0.296,-0.168,-355.033,0.011,-0.474,0.636,0.243,117.686,0.027,-2.032,0.44,0.185,-296.681,0.009,Asia,270.144
0.959,-0.896,0.311,0.057,63.929,0.018,3.121,0.268,-0.21,1736.058,0.009,-0.865,0.525,0.181,59.585,0.016,Asia,270.144
0.864,-1.14,0.223,0.04,132.475,0.03,4.451,0.29,-0.368,-1050.753,0.01,-0.62,0.347,0.085,129.331,0.029,Asia,269.133
0.864,-12.31,0.173,-0.258,1769.897,0.01,0.788,0.23,0.05,67.741,0.044,21.125,0.229,0.033,1552.207,0.008,Asia,269.133
0.864,4.623,0.206,-0.796,-1204.254,0.011,-0.501,0.733,0.528,41.594,0.007,-0.293,0.279,0.03,-884.834,0.008,Asia,269.133
0.864,-0.162,0.512,0.171,63.285,0.041,0.024,0.37,0.12,28.868,0.029,-0.602,0.701,0.227,61.101,0.039,Asia,269.133
1.261,-1.433,0.046,-5.575,207.876,0.028,-0.281,0.303,-2.849,143.474,0.009,-1.599,0.595,0.278,68.908,0.009,NAmerica,292.551
1.319,-0.915,-0.046,-0.395,36.357,0.036,-0.248,0.183,0.001,158.348,0.029,-0.572,0.49,0.228,27.05,0.027,NAmerica,293.362
1.232,-0.278,0.425,-1.549,116.755,0.007,0.159,0.35,-0.342,181.264,0.01,-0.99,0.367,-0.232,81.177,0.005,Asia,271.728
1.232,-0.051,0.137,-0.003,158.639,0.029,-0.757,0.401,0.138,37.618,0.015,-0.427,0.147,0.021,156.77,0.029,Asia,271.728
1.232,0.048,0.355,-0.19,170.664,0.009,-0.563,0.246,-0.408,76.723,0.011,-0.56,0.398,0.122,146.653,0.008,Asia,271.728
1.232,-0.852,0.216,-0.018,40.865,0.017,-0.727,0.456,0.187,107.951,0.027,-0.83,0.375,0.131,37.756,0.015,Asia,271.728
1.232,-0.604,0.29,-0.156,69.529,0.01,-0.162,0.051,-0.678,96.986,0.012,-0.834,0.303,0.068,62.418,0.009,Asia,271.728
1.234,-0.751,0.208,0.02,118.554,0.029,5.719,0.326,-0.087,-4053.035,0.011,-0.772,0.377,0.099,113.622,0.028,Asia,271.192
1.234,-0.259,0.059,-1.369,115.225,0.015,0.143,0.559,0.245,38.693,0.021,-0.424,0.358,0.125,70.025,0.009,Asia,271.192
1.234,-74.815,0.07,-1.663,-6342.932,0.016,2.381,0.07,-0.307,88.934,0.014,-2.337,0.264,0.067,-3754.749,0.01,Asia,271.192
1.234,-0.426,0.58,0.232,39.01,0.021,1.094,0.453,0.191,31.567,0.015,-0.275,0.572,0.138,41.343,0.022,Asia,271.192
1.234,1.398,0.115,-0.2,85.216,0.013,-0.801,0.69,0.249,-146.057,0.036,0.037,0.319,0.102,73.729,0.012,Asia,271.192
1.234,0.489,0.421,0.172,31.931,0.016,-1.08,0.211,-0.323,-33.446,0.02,-0.349,0.299,0.089,33.485,0.016,Asia,271.192
1.234,-1.313,0.212,0.041,-165.01,0.041,-0.746,0.595,-0.1,-442.331,0.008,-0.689,0.369,0.081,-161.566,0.04,Asia,271.192
2.279,-1.429,0.109,-1.527,1478.659,0.027,0.764,0.187,-0.416,3175.422,0.011,-2.541,0.184,0.006,927.439,0.017,NAmerica,291.897
3.245,-1.383,0.171,-0.187,-431.969,0.008,-1.05,0.617,0.355,60.332,0.016,-0.556,0.433,0.182,-358.587,0.007,NAmerica,292.404
4.035,-0.302,-0.018,-0.455,2419.707,0.012,0.067,0.513,0.262,1355.997,0.014,-0.267,0.173,-0.082,2086.492,0.01,NAmerica,290.338
3.714,-0.645,-0.007,-0.159,-1387.281,0.022,2.599,0.523,0.254,743.475,0.021,-1.71,0.59,0.208,-1146.814,0.018,NAmerica,290.896
1.277,-0.576,0.213,-0.407,-1206.133,0.019,-0.167,0.639,0.35,36.282,0.015,-0.415,0.52,0.266,-871.422,0.013,NAmerica,292.527
1.277,3.105,0.263,0.059,835.132,0.024,1.247,0.254,-3.369,-1064.888,0.012,0.497,0.37,0.117,808.958,0.023,Asia,271.921
1.277,0.184,0.367,0.135,41.852,0.018,0.283,0.304,-0.412,450.465,0.012,-0.379,0.592,0.206,40.094,0.017,Asia,271.921
1.277,-4.971,0.184,-3.395,-1068.071,0.012,-0.931,0.487,0.233,-87.51,0.017,-2.522,0.221,-0.507,-625.431,0.007,Asia,271.921
1.277,1.115,0.139,-0.618,482.213,0.013,3.647,0.504,0.206,1209.745,0.027,1.784,0.293,0.047,370.089,0.01,Asia,271.921
1.098,-1.04,0.352,0.11,-94.273,0.019,19.947,0.288,-1.077,492.104,0.011,-0.916,0.511,0.241,-87.07,0.017,Asia,271.087
1.098,3.764,0.1,-0.021,1371.989,0.03,-0.24,0.396,-0.168,114.574,0.011,2.519,0.334,0.083,1299.985,0.029,Asia,271.087
1.098,21.188,0.081,-1.523,542.354,0.012,0.686,0.458,0.138,54.47,0.009,20.849,-0.058,-0.563,426.912,0.009,Asia,271.087
1.098,-0.06,0.299,-0.22,117.088,0.011,1.704,0.299,-0.037,556.999,0.014,-0.635,0.434,0.182,95.887,0.009,Asia,271.087
1.098,1.608,0.254,-0.209,64.49,0.011,0.05,0.471,0.2,38.465,0.011,0.465,0.357,0.125,54.867,0.009,Asia,271.087
1.098,2.343,0.286,-0.012,550.193,0.014,0.82,0.272,-0.501,294.756,0.011,0.297,0.428,0.177,496.242,0.013,Asia,271.087
1.098,0.623,0.23,-0.132,45.77,0.013,3.074,0.221,-0.404,237.229,0.01,-0.088,0.326,0.106,40.67,0.011,Asia,271.087
1.098,1.25,0.251,-0.406,285.313,0.011,0.253,0.664,-0.129,140.955,0.013,-0.127,0.282,-0.008,241.559,0.009,Asia,271.087
1.098,2.739,0.226,-0.357,233.258,0.009,0.926,0.223,-0.264,69.839,0.011,2.808,0.252,0.014,198.84,0.008,Asia,271.087
1.098,0.549,0.687,0.224,116.881,0.011,-0.746,0.348,0.09,66.131,0.015,-0.399,0.728,0.527,91.195,0.008,Asia,271.087
