arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.877,-1.146,-0.315,-0.613,22.743,0.027,-7.194,0.526,0.013,197.594,0.022,-1.044,0.493,0.213,15.885,0.019,SAmerica,298.812
3.632,2.263,0.301,0.073,-3003.278,0.028,2.795,0.237,0.024,-3081.806,0.029,2.892,0.393,0.133,-2904.238,0.027,SAmerica,300.391
3.687,-1.21,0.305,-0.257,104.101,0.013,1.218,0.569,-0.094,97.13,0.012,0.127,0.575,0.325,76.303,0.01,SAmerica,296.586
2.827,-0.804,0.303,-0.241,-41.789,0.015,-0.99,0.638,0.391,98.429,0.01,-0.593,0.528,0.253,-32.413,0.012,SAmerica,300.227
2.25,-0.777,0.055,-4.322,116.523,0.016,-0.702,0.568,-0.16,54.39,0.008,-0.71,0.6,-0.118,53.416,0.008,SAmerica,296.9
2.1,-3.761,0.21,-0.199,183.541,0.018,-3.62,0.56,0.227,147.424,0.015,-2.851,0.556,0.296,140.643,0.014,SAmerica,295.272
2.63,-1.079,0.097,-1.818,-70.97,0.03,-0.529,0.69,0.42,-42.915,0.014,-1.064,0.464,0.215,-37.458,0.016,SAmerica,295.398
1.923,-17.524,0.469,0.076,12063.159,0.016,0.811,0.749,0.556,8362.871,0.011,3.923,0.635,0.398,9737.129,0.013,SAmerica,298.55
1.938,-0.771,0.106,-1.109,-39.498,0.019,-0.102,0.431,0.133,-25.321,0.012,-0.304,0.5,-0.012,-27.356,0.013,SAmerica,296.232
2.052,-1.015,0.039,-0.188,-55.279,0.035,-0.724,0.599,0.328,-41.584,0.027,-0.754,0.418,0.165,-46.358,0.03,SAmerica,297.403
3.097,-8.24,-0.012,-3.138,-1704.653,0.021,-11.252,0.289,-1.015,-1189.544,0.015,-4.095,0.222,-0.26,-940.482,0.012,Australia,291.879
2.818,-1.163,0.104,-0.57,985.883,0.008,-2.88,0.375,-1.283,1188.894,0.009,-1.216,0.305,-0.062,811.028,0.006,Australia,290.205
3.159,18.439,0.401,-0.261,-8734.084,0.009,-7.693,0.511,-0.221,-8592.016,0.009,-3.308,0.493,0.24,-6778.547,0.007,Australia,290.51
4.036,10.182,0.172,-2.09,-8005.847,0.007,3.245,0.357,-2.071,-7981.204,0.007,6.099,0.396,-0.369,-5329.85,0.005,Australia,290.185
3.476,1.042,0.301,-0.396,-301.409,0.009,-1.482,0.11,-1.232,-381.081,0.012,-1.067,0.08,-0.167,-275.534,0.008,Australia,290.548
3.129,-1.318,0.373,-0.13,-225.995,0.01,-0.753,0.395,-0.055,-218.413,0.009,-1.251,0.446,0.198,-190.358,0.008,Australia,290.463
3.225,-0.932,-0.083,-0.247,-182.377,0.02,-0.564,0.203,-0.046,-167.059,0.019,-0.914,0.316,0.093,-155.524,0.017,Australia,290.453
3.225,0.983,0.04,-0.347,976.17,0.016,-3.048,0.245,-0.044,859.197,0.014,-1.064,0.221,0.044,822.332,0.014,Australia,290.453
3.059,-2.329,0.281,-0.101,1480.166,0.01,-3.596,0.459,0.077,1354.989,0.009,-0.282,0.364,0.127,1317.632,0.009,Australia,290.364
3.059,9.761,0.129,-0.057,-23978.663,0.013,-0.169,0.346,0.066,-22540.155,0.012,-6.032,0.364,0.128,-21775.607,0.012,Australia,290.364
2.056,101.792,0.239,-2.325,-7209.901,0.006,71.675,0.451,-3.056,-7963.098,0.006,60.217,0.45,-1.642,-6427.616,0.005,Australia,288.485
3.038,-2.432,0.047,-0.52,-373.071,0.019,-0.241,0.117,-0.333,-349.413,0.018,-0.932,0.114,-0.006,-303.579,0.016,Australia,290.277
3.077,3.128,0.278,-0.706,2965.906,0.009,-3.544,0.274,-1.022,3228.928,0.01,0.003,0.167,-0.104,2386.127,0.008,Australia,290.257
3.077,-3.993,0.19,-0.418,-813.143,0.013,1.337,0.115,-0.661,-880.079,0.014,-1.113,0.194,0.021,-675.771,0.011,Australia,290.257
2.926,-4.008,0.169,-0.23,2838.5,0.01,-8.126,0.253,-0.275,2890.64,0.01,-2.023,0.318,0.096,2433.466,0.009,Australia,290.197
2.96,-1.209,-0.056,-0.696,-270.921,0.01,-0.786,0.021,-1.168,-306.26,0.011,-0.841,0.134,-0.115,-219.663,0.008,Australia,290.1
2.905,-0.301,0.337,0.101,-374.167,0.015,-0.257,0.341,0.091,-376.336,0.015,-0.861,0.225,0.051,-384.592,0.016,Australia,290.114
2.736,-2.103,0.151,-0.214,-1444.728,0.019,0.805,0.364,0.045,-1281.26,0.016,-0.638,0.428,0.146,-1211.464,0.016,Australia,290.023
2.736,-0.828,0.314,0.068,-193.607,0.017,-0.682,0.416,0.17,-182.749,0.016,-0.978,0.339,0.105,-189.695,0.017,Australia,290.023
2.154,-1.233,0.048,-1.505,-1590.009,0.009,0.422,0.246,-1.83,-1690.238,0.009,-4.888,0.213,-0.637,-1285.639,0.007,Australia,289.129
2.154,3.566,0.323,-16.405,-324.973,0.008,3.356,0.39,-15.9,-320.222,0.008,2.015,0.407,-8.659,-242.082,0.006,Australia,289.129
2.025,-0.04,0.624,0.275,266.048,0.009,-0.211,0.614,0.31,259.573,0.008,0.316,0.705,0.487,223.731,0.007,Australia,288.717
1.988,-3.162,0.401,-0.272,2229.873,0.013,0.191,0.526,0.156,1816.791,0.01,0.716,0.573,0.31,1642.434,0.009,Australia,288.682
1.988,-0.874,0.281,-0.059,-670.093,0.016,-0.623,0.608,0.37,-517.035,0.012,-1.36,0.609,0.341,-528.669,0.013,Australia,288.682
1.988,-0.936,0.439,0.095,1580.433,0.009,-2.291,0.375,0.017,1647.295,0.009,1.83,0.565,0.316,1374.428,0.008,Australia,288.682
1.836,-9.032,0.38,-1.032,2575.379,0.011,-6.377,0.416,-0.236,2008.91,0.009,-4.667,0.496,-0.012,1817.065,0.008,Australia,288.081
1.836,1.248,0.362,-0.632,-267.776,0.008,1.098,0.603,0.067,-202.388,0.006,1.231,0.628,0.275,-178.443,0.006,Australia,288.081
1.836,3.172,0.537,-0.016,-1315.718,0.008,4.011,0.681,0.325,-1073.038,0.006,2.262,0.726,0.466,-953.947,0.006,Australia,288.081
1.836,4.02,0.349,-0.306,-700.726,0.009,2.725,0.752,0.524,-423.118,0.005,5.243,0.633,0.366,-488.095,0.006,Australia,288.081
1.836,0.449,0.446,-0.459,-791.952,0.011,2.172,0.755,0.452,-485.372,0.007,1.863,0.67,0.394,-510.298,0.007,Australia,288.081
1.836,-2.351,0.363,-0.435,1282.763,0.009,-4.303,0.543,0.105,1013.287,0.007,-4.177,0.631,0.353,861.418,0.006,Australia,288.081
1.836,-1.33,0.482,-0.647,-1457.026,0.009,-2.083,0.531,-0.233,-1260.519,0.008,-0.769,0.526,0.023,-1122.374,0.007,Australia,288.081
1.441,127.574,0.598,0.206,-34756.591,0.01,49.355,0.56,0.312,-32355.495,0.009,144.978,0.575,0.192,-35049.164,0.01,Australia,286.513
1.441,-1.479,0.257,-0.868,569.021,0.017,-0.993,0.514,0.2,372.503,0.011,-0.594,0.555,0.229,365.525,0.011,Australia,286.513
1.441,0.89,0.121,-0.213,-454.292,0.019,-0.245,0.46,0.203,-368.155,0.015,-0.302,-0.025,-0.354,-479.945,0.02,Australia,286.513
1.441,0.029,0.217,-0.653,-445.583,0.016,1.183,0.295,-0.049,-354.925,0.013,1.809,0.467,0.114,-326.235,0.012,Australia,286.513
1.441,1.601,0.298,-0.069,-1715.046,0.016,2.062,0.371,0.127,-1549.845,0.015,2.104,0.419,0.142,-1537.099,0.014,Australia,286.513
1.912,614.989,0.475,0.152,-189572.589,0.01,17.594,0.626,0.303,-171888.484,0.009,320.867,0.538,0.281,-174595.989,0.009,Australia,284.583
1.717,-2.457,0.41,-0.029,1912.649,0.009,-1.521,0.463,-0.025,1909.229,0.009,-3.069,0.364,-0.029,1912.903,0.009,Australia,283.846
2.318,-1.231,0.031,-0.038,-488.049,0.031,-1.031,0.404,0.164,-438.224,0.028,-1.196,0.363,0.126,-447.891,0.029,SAmerica,300.308
1.472,-0.098,0.484,-3.053,-436.536,0.019,-1.433,0.532,-0.355,-252.443,0.011,-1.307,0.435,-0.045,-221.648,0.01,SAmerica,301.544
2.712,-0.49,0.753,0.494,-34.274,0.014,-1.806,0.812,0.643,-28.768,0.012,-1.352,0.585,0.339,-39.162,0.016,SAmerica,299.429
1.017,-0.204,0.166,-8.434,-132.611,0.024,0.045,0.468,0.156,-39.654,0.007,-0.114,0.537,0.081,-41.395,0.007,Australia,284.987
1.017,-1.141,0.167,-2.433,-117.533,0.023,-0.504,0.532,0.27,-54.186,0.01,-0.264,0.389,0.081,-60.814,0.012,Australia,284.987
1.017,-1.278,0.074,-3.774,-235.1,0.023,-0.022,0.445,0.196,-96.472,0.009,0.454,0.256,-0.196,-117.662,0.011,Australia,284.987
1.017,-0.771,0.166,-16.148,-176.735,0.021,0.013,0.489,-0.043,-43.583,0.005,0.527,0.384,-1.298,-64.694,0.008,Australia,284.987
1.017,-1.734,0.201,-0.139,-63.498,0.026,-1.231,0.484,0.203,-53.113,0.022,-1.407,0.406,0.164,-54.406,0.022,Australia,284.987
1.017,-0.545,0.334,-2.692,-66.353,0.018,-0.476,0.619,0.38,-27.188,0.007,-0.45,0.615,0.324,-28.399,0.008,Australia,284.987
