arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.877,2.785,-0.133,-11.736,3.077,0.039,5.795,0.387,-44.717,5.928,0.04,2.372,0.554,-7.301,2.484,0.022,SAmerica,298.812
3.632,1.709,0.36,-8.393,1.833,0.048,2.119,0.583,-12.401,2.19,0.04,1.517,0.589,-6.086,1.592,0.035,SAmerica,300.391
3.687,3.856,0.415,-94.967,3.895,0.034,2.545,0.764,-41.584,2.595,0.031,3.208,0.762,-64.619,3.221,0.017,SAmerica,296.586
2.827,0.488,0.339,-7.659,0.549,0.038,0.597,0.658,-12.012,0.629,0.03,0.364,0.619,-3.523,0.396,0.024,SAmerica,300.227
2.25,1.749,0.479,-79.571,1.795,0.036,1.611,0.803,-65.342,1.629,0.022,1.355,0.848,-45.777,1.368,0.017,SAmerica,296.9
2.1,0.518,0.236,-12.524,0.545,0.03,0.332,0.36,-5.72,0.384,0.034,0.308,0.581,-3.997,0.331,0.022,SAmerica,295.272
2.63,1.215,0.113,-23.1,1.305,0.053,1.564,0.666,-31.694,1.581,0.026,0.986,0.527,-13.505,1.013,0.026,SAmerica,295.398
1.923,4.78,0.492,-28.796,4.973,0.047,6.291,0.748,-47.521,6.346,0.029,5.22,0.804,-32.213,5.251,0.019,SAmerica,298.55
1.938,1.085,0.638,-16.079,1.113,0.028,1.157,0.652,-18.079,1.177,0.024,0.945,0.806,-11.776,0.963,0.021,SAmerica,296.232
2.052,3.174,0.238,-19.759,3.296,0.061,2.303,0.573,-10.09,2.409,0.049,3.832,0.599,-27.708,3.875,0.04,SAmerica,297.403
3.097,1.223,0.351,-8.217,1.538,0.033,5.819,0.698,-141.133,6.04,0.058,3.091,0.684,-37.138,3.129,0.017,Australia,291.879
2.818,-0.104,0.604,-0.596,0.168,0.033,-0.039,0.685,-0.446,0.159,0.039,-0.132,0.507,-0.75,0.175,0.029,Australia,290.205
3.159,0.16,0.548,-1.808,0.238,0.035,0.095,0.7,-0.81,0.191,0.033,0.067,0.652,0.197,0.127,0.022,Australia,290.51
4.036,1.88,0.356,-112.424,1.898,0.028,1.265,0.58,-51.3,1.289,0.026,1.331,0.66,-55.513,1.34,0.016,Australia,290.185
3.476,0.16,0.047,-1.778,0.273,0.057,-0.117,0.356,-0.822,0.221,0.049,0.027,0.488,0.207,0.146,0.037,Australia,290.548
3.129,-0.225,0.381,-3.462,0.284,0.047,-0.227,0.514,-2.868,0.264,0.037,-0.209,0.762,-1.845,0.227,0.024,Australia,290.463
3.225,-0.187,0.148,-1.323,0.3,0.06,-0.166,0.36,-0.705,0.257,0.05,-0.173,0.361,-0.662,0.254,0.048,Australia,290.453
3.225,-0.2,0.114,-0.707,0.374,0.083,-0.18,0.228,-0.432,0.343,0.077,-0.159,0.674,0.074,0.276,0.059,Australia,290.453
3.059,-0.304,0.211,-5.834,0.357,0.058,-0.276,0.417,-4.347,0.316,0.047,-0.262,0.782,-3.051,0.275,0.026,Australia,290.364
3.059,0.217,0.398,-0.355,0.384,0.057,0.223,0.48,-0.271,0.372,0.053,0.169,0.592,0.014,0.328,0.05,Australia,290.364
2.056,0.154,0.715,-5.899,0.207,0.028,0.245,0.769,-14.637,0.312,0.039,0.164,0.647,-5.619,0.203,0.024,Australia,288.485
3.038,-0.171,0.112,-1.789,0.271,0.054,-0.182,0.181,-1.631,0.264,0.049,-0.216,0.355,-1.633,0.264,0.039,Australia,290.277
3.077,-0.409,-0.116,-25.228,0.436,0.052,-0.392,-0.032,-22.717,0.414,0.046,-0.371,-0.123,-20.385,0.393,0.045,Australia,290.257
3.077,-0.452,0.313,-10.96,0.471,0.047,-0.455,0.139,-11.316,0.477,0.051,-0.417,0.405,-9.248,0.436,0.045,Australia,290.257
2.926,-0.199,0.224,-1.533,0.312,0.066,-0.131,0.408,-0.486,0.239,0.055,-0.185,0.696,-0.441,0.235,0.04,Australia,290.197
2.96,-0.391,-0.235,-19.408,0.419,0.052,-0.409,0.028,-20.402,0.429,0.046,-0.383,0.552,-16.741,0.391,0.027,Australia,290.1
