arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.708,-0.29,0.603,0.143,118.219,0.013,-1.047,0.747,0.555,85.177,0.01,-2.141,0.599,0.342,103.6,0.012,SAmerica,298.597
2.883,-3.202,0.539,0.112,-792.746,0.015,-1.372,0.573,0.311,-698.109,0.013,-7.162,0.595,0.346,-680.09,0.013,SAmerica,298.917
2.666,0.98,0.626,0.186,161.166,0.018,0.65,0.616,0.298,-129.383,0.016,0.452,0.654,0.426,135.264,0.015,SAmerica,298.691
2.401,12.143,0.581,-0.051,-2291.215,0.015,3.697,0.707,0.396,-1736.728,0.011,0.671,0.661,0.375,-1766.785,0.011,SAmerica,298.119
2.27,-0.921,0.505,0.122,-103.213,0.015,0.781,0.624,0.318,-90.988,0.013,-0.76,0.559,0.293,-92.593,0.013,SAmerica,297.564
3.687,5.921,0.624,-0.558,256.358,0.018,6.497,0.627,0.318,169.615,0.012,4.223,0.65,0.397,159.431,0.011,SAmerica,296.586
2.863,-6.415,0.788,0.585,4901.358,0.018,-0.807,0.706,0.421,115.921,0.021,-6.751,0.795,0.61,4754.63,0.017,SAmerica,300.266
2.544,-0.442,0.459,0.137,-184.899,0.016,1.862,0.58,0.324,-163.612,0.014,0.034,0.473,0.224,-175.387,0.015,SAmerica,298.638
2.429,5.491,-0.567,-5.542,-21.752,0.009,0.865,-0.521,-0.309,-9.732,0.004,2.996,-0.317,-1.696,-13.964,0.006,SAmerica,298.279
2.025,-0.573,0.629,0.345,-1333.111,0.019,-2.033,0.636,0.401,255.444,0.018,0.346,0.659,0.43,-1243.652,0.018,SAmerica,296.584
2.159,0.635,0.438,-0.241,-157.594,0.021,-2.286,0.365,0.013,200.351,0.019,-0.554,0.494,0.114,-133.165,0.017,SAmerica,295.879
2.274,0.384,0.593,0.019,-37.244,0.018,0.142,0.604,0.365,-29.962,0.015,0.229,0.627,0.294,-31.587,0.016,SAmerica,295.116
